EC,Abundances,Species
1.1.1.100,0.001826347,Escherichia coli
1.1.1.28,0.000365269,Escherichia coli
1.1.1.35,0.000547904,Escherichia coli
1.1.1.37,0.012601796,Escherichia coli
1.1.1.42,0.01698503,Escherichia coli
1.1.1.42,0.01698503,Escherichia coli
1.1.1.49,0.004565868,Escherichia coli
1.17.1.9,0.01,Starkeya novella
1.2.1.12,0.019724551,Escherichia coli
1.2.4.1,0.018628742,Escherichia coli
1.2.4.2,0.028673653,Escherichia coli
1.3.1.9,0.009862275,Escherichia coli
1.3.5.1,0.007305389,Escherichia coli
2.1.2.1,0.00694012,Escherichia coli
2.2.1.1,0.014976048,Escherichia coli
2.2.1.2,0.011871257,Escherichia coli
2.3.1.180,0.00347006,Escherichia coli
2.3.1.39,0.002374251,Escherichia coli
2.3.1.41,0.006757485,Escherichia coli
2.3.1.41,0.005661677,Escherichia coli
2.3.1.9,0.000182635,Escherichia coli
2.3.3.1,0.010775449,Escherichia coli
2.4.1.1,0.001826347,Escherichia coli
2.7.1.11,0.001095808,Escherichia coli
2.7.1.40,0.00657485,Escherichia coli
2.7.1.40,0.00694012,Escherichia coli
2.7.2.1,0.002922156,Escherichia coli
2.7.2.3,0.01661976,Escherichia coli
2.7.4.3,0.00694012,Escherichia coli
2.7.4.6,0.003652695,Escherichia coli
2.7.9.2,0.010958084,Escherichia coli
3.1.3.11,0.002374251,Escherichia coli
4.1.1.31,0.005357285,Escherichia coli
4.1.1.49,0.007427146,Escherichia coli
4.1.2.13,0.007305389,Escherichia coli
4.1.3.1,0.0014002,Escherichia coli
4.2.1.1,0.002861277,Escherichia coli
4.2.1.11,0.013697605,Escherichia coli
4.2.1.17,0.000547904,Escherichia coli
4.2.1.17,0.000547904,Escherichia coli
4.2.1.2,0.009314371,Escherichia coli
4.2.1.3,0.000547904,Escherichia coli
4.2.1.3,0.032508982,Escherichia coli
4.2.1.59,0.003287425,Escherichia coli
4.3.1.17,0.0014002,Escherichia coli
4.3.1.17,0.01,Dictyostelium discoideum
5.1.3.1,0.000913174,Escherichia coli
5.3.1.1,0.002922156,Escherichia coli
5.3.1.6,0.002008982,Escherichia coli
5.3.1.9,0.000913174,Escherichia coli
5.4.2.11,0.000365269,Escherichia coli
5.4.2.2,0.003652695,Escherichia coli
6.2.1.1,0.002496008,Escherichia coli
6.2.1.3,0.001095808,Escherichia coli
6.2.1.5,0.018263473,Escherichia coli
6.4.1.1,0.01,Rhizobium etli
6.4.1.2,0.006026946,Escherichia coli
