Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Species
3-oxoacyl-[acyl-carrier-protein] reductase,1.1.1.100,Enzyme,0.001826347,,,,Escherichia coli
D-lactate dehydrogenase,1.1.1.28,Enzyme,0.000365269,,,,Escherichia coli
3-hydroxyacyl-coa dehydrogenase,1.1.1.35,Enzyme,0.000547904,,,,Escherichia coli
Malate dehydrogenase,1.1.1.37,Enzyme,0.012601796,,,,Escherichia coli
Isocitrate dehydrogenase (nadp+),1.1.1.42,Enzyme,0.03397006,,,,Escherichia coli
Glucose-6-phosphate dehydrogenase (nadp+),1.1.1.49,Enzyme,0.004565868,,,,Escherichia coli
Formate dehydrogenase,1.17.1.9,Enzyme,0.01,,,,Starkeya novella
Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),1.2.1.12,Enzyme,0.019724551,,,,Escherichia coli
Pyruvate dehydrogenase (acetyl-transferring),1.2.4.1,Enzyme,0.018628742,,,,Escherichia coli
Oxoglutarate dehydrogenase (succinyl-transferring),1.2.4.2,Enzyme,0.028673653,,,,Escherichia coli
Enoyl-[acyl-carrier-protein] reductase (nadh),1.3.1.9,Enzyme,0.009862275,,,,Escherichia coli
Succinate dehydrogenase,1.3.5.1,Enzyme,0.007305389,,,,Escherichia coli
Glycine hydroxymethyltransferase,2.1.2.1,Enzyme,0.00694012,,,,Escherichia coli
Transketolase,2.2.1.1,Enzyme,0.014976048,,,,Escherichia coli
Transaldolase,2.2.1.2,Enzyme,0.011871257,,,,Escherichia coli
Beta-ketoacyl-[acyl-carrier-protein] synthase iii,2.3.1.180,Enzyme,0.00347006,,,,Escherichia coli
[acyl-carrier-protein] s-malonyltransferase,2.3.1.39,Enzyme,0.002374251,,,,Escherichia coli
Beta-ketoacyl-[acyl-carrier-protein] synthase i,2.3.1.41,Enzyme,0.012419162000000001,,,,Escherichia coli
Acetyl-coa c-acetyltransferase,2.3.1.9,Enzyme,0.000182635,,,,Escherichia coli
Citrate (si)-synthase,2.3.3.1,Enzyme,0.010775449,,,,Escherichia coli
Glycogen phosphorylase,2.4.1.1,Enzyme,0.001826347,,,,Escherichia coli
6-phosphofructokinase,2.7.1.11,Enzyme,0.001095808,,,,Escherichia coli
Pyruvate kinase,2.7.1.40,Enzyme,0.013514970000000001,,,,Escherichia coli
Acetate kinase,2.7.2.1,Enzyme,0.002922156,,,,Escherichia coli
Phosphoglycerate kinase,2.7.2.3,Enzyme,0.01661976,,,,Escherichia coli
Adenylate kinase,2.7.4.3,Enzyme,0.00694012,,,,Escherichia coli
Nucleoside-diphosphate kinase,2.7.4.6,Enzyme,0.003652695,,,,Escherichia coli
"Pyruvate, water dikinase",2.7.9.2,Enzyme,0.010958084,,,,Escherichia coli
Fructose-bisphosphatase,3.1.3.11,Enzyme,0.002374251,,,,Escherichia coli
Phosphoenolpyruvate carboxylase,4.1.1.31,Enzyme,0.005357285,,,,Escherichia coli
Phosphoenolpyruvate carboxykinase (atp),4.1.1.49,Enzyme,0.007427146,,,,Escherichia coli
Fructose-bisphosphate aldolase,4.1.2.13,Enzyme,0.007305389,,,,Escherichia coli
Isocitrate lyase,4.1.3.1,Enzyme,0.0014002,,,,Escherichia coli
